iter	MultiClass
0	1.094647545
1	1.089856405
2	1.085709955
3	1.082257112
4	1.078625133
5	1.075319303
6	1.071805571
7	1.068625351
8	1.065759423
9	1.062174017
10	1.059992523
11	1.0576364
12	1.055231197
13	1.052298759
14	1.049866329
15	1.047441149
16	1.044949253
17	1.042753499
18	1.040213384
19	1.037892513
20	1.036092145
21	1.034834277
22	1.033131708
23	1.031666899
24	1.03003676
25	1.027576162
26	1.026247341
27	1.024605968
28	1.023088142
29	1.021629807
30	1.020273232
31	1.018732736
32	1.017302623
33	1.016421844
34	1.015072054
35	1.013756504
36	1.012028431
37	1.010897043
38	1.009581429
39	1.007818467
40	1.006165959
41	1.004786466
42	1.003888443
43	1.00231869
44	1.001063586
45	0.9998185032
46	0.9986346924
47	0.9973931752
48	0.9960750707
49	0.9950608216
50	0.9936625492
51	0.9922183493
52	0.9916480296
53	0.9906606514
54	0.9896125102
55	0.9884141962
56	0.9869813585
57	0.9853315821
58	0.9841288787
59	0.9828890102
60	0.9819754265
61	0.9813001465
62	0.9804420213
63	0.9788923262
64	0.9780718045
65	0.9767308246
66	0.9756202442
67	0.974302595
68	0.9732882097
69	0.9719238304
70	0.9708799823
71	0.9700729216
72	0.9692730396
73	0.9683181927
74	0.9675734825
75	0.9665971937
76	0.9657312566
77	0.9645884321
78	0.9631551329
79	0.962356184
80	0.9609544263
81	0.9602919367
82	0.9594799308
83	0.9585752645
84	0.9577641883
85	0.9568391655
86	0.9560950484
87	0.9551770477
88	0.9543525535
89	0.9537894588
90	0.9530710427
91	0.9519935853
92	0.9511274346
93	0.9500763884
94	0.9491273988
95	0.9485049998
96	0.9479180506
97	0.9470901807
98	0.946273875
99	0.9454772545
100	0.9444702506
101	0.9436947147
102	0.9427030873
103	0.9418688089
104	0.941164101
105	0.9398742293
106	0.9394451238
107	0.9385780019
108	0.9374579546
109	0.9364925074
110	0.9354600917
111	0.9345490475
112	0.9335854203
113	0.9329845951
114	0.9319935908
115	0.9307429379
116	0.9297341658
117	0.9284431178
118	0.9278784845
119	0.9273534159
120	0.9263271107
121	0.9255328127
122	0.924571588
123	0.9237814631
124	0.9228123738
125	0.9220699097
126	0.9215022383
127	0.9208765256
128	0.9204568945
129	0.9197077247
130	0.9185796494
131	0.9180124365
132	0.9170980724
133	0.9159414645
134	0.9152263815
135	0.9141845505
136	0.913323909
137	0.9127075807
138	0.9116578559
139	0.9106954548
140	0.9098346834
141	0.9089669693
142	0.9084023171
143	0.9077515736
144	0.906437173
145	0.905520285
146	0.9047464066
147	0.9040713927
148	0.9034086145
149	0.9027340359
150	0.9020863184
151	0.9010161982
152	0.9003238845
153	0.8992214888
154	0.8987659705
155	0.8980506882
156	0.8973114339
157	0.8966388692
158	0.8959371073
159	0.895239152
160	0.8940774182
161	0.8929003786
162	0.8924623773
163	0.8917108173
164	0.890940054
165	0.8902861659
166	0.8894968402
167	0.8884788487
168	0.8877198129
169	0.8865572403
170	0.8861111713
171	0.8856553897
172	0.8850199084
173	0.8838564034
174	0.88306252
175	0.8819508062
176	0.8810050998
177	0.8800873242
178	0.8792391915
179	0.8786409675
180	0.8776830336
181	0.8766028209
182	0.875934408
183	0.8754298414
184	0.8741704779
185	0.8732905626
186	0.8725363081
187	0.8714286087
188	0.8708385012
189	0.8697002505
190	0.8690681847
191	0.8683219205
192	0.8674630302
193	0.8667779294
194	0.8661172773
195	0.8654206346
196	0.864790104
197	0.863406274
198	0.8625439047
199	0.8617868813
200	0.8612704024
201	0.8604461512
202	0.859340616
203	0.8586922156
204	0.8579609823
205	0.8573252167
206	0.8564132323
207	0.855705829
208	0.8548447951
209	0.8540051205
210	0.8531846049
211	0.8521961244
212	0.8514438445
213	0.8504242261
214	0.8495837565
215	0.8488090221
216	0.8478515367
217	0.8469815182
218	0.8461601196
219	0.8451559741
220	0.8445687168
221	0.8437818771
222	0.8431023657
223	0.842448598
224	0.8416317179
225	0.8408135662
226	0.839753955
227	0.8391210377
228	0.8385345235
229	0.8378327657
230	0.8370495854
231	0.8360097852
232	0.8352731214
233	0.834436351
234	0.8336508881
235	0.8329336276
236	0.8321643168
237	0.8308352515
238	0.8299131472
239	0.8289269935
240	0.8282268568
241	0.8276228832
242	0.8270564015
243	0.8265882663
244	0.8258025399
245	0.8251526073
246	0.8244089231
247	0.8236101351
248	0.8226382612
249	0.8214749063
250	0.8206201501
251	0.8202287938
252	0.8197017433
253	0.8187023713
254	0.8175009951
255	0.8167707114
256	0.8159722635
257	0.8148551639
258	0.8137822465
259	0.8131110136
260	0.8125421841
261	0.8114731845
262	0.8107597181
263	0.8098802207
264	0.8089065681
265	0.8078368295
266	0.8068648157
267	0.8060196402
268	0.8050797598
269	0.8042676753
270	0.8037307168
271	0.8030920126
272	0.8025609731
273	0.8019201269
274	0.8010424213
275	0.7999347504
276	0.7990095444
277	0.7985269278
278	0.7975631346
279	0.7968380406
280	0.7962489937
281	0.7955285429
282	0.7951221697
283	0.79428905
284	0.7934431451
285	0.792684979
286	0.7921235897
287	0.7915690768
288	0.7909912367
289	0.790332369
290	0.7893938948
291	0.7886514507
292	0.7879298409
293	0.7870255063
294	0.7861978748
295	0.7854043462
296	0.7843346406
297	0.7838145242
298	0.7830093295
299	0.7819207361
