iter	Passed	Remaining
0	17	5298
1	31	4690
2	46	4574
3	61	4586
4	76	4492
5	90	4433
6	106	4449
7	122	4468
8	138	4480
9	154	4470
10	169	4443
11	185	4440
12	202	4480
13	217	4449
14	233	4442
15	247	4395
16	261	4350
17	276	4327
18	291	4305
19	304	4268
20	317	4223
21	333	4216
22	360	4338
23	376	4329
24	390	4298
25	405	4268
26	419	4236
27	433	4213
28	447	4182
29	463	4170
30	477	4142
31	492	4122
32	508	4111
33	522	4085
34	536	4061
35	550	4039
36	566	4024
37	579	3994
38	595	3984
39	613	3985
40	626	3960
41	640	3935
42	657	3928
43	670	3903
44	687	3896
45	703	3883
46	718	3866
47	735	3863
48	750	3844
49	764	3823
50	778	3800
51	793	3783
52	806	3759
53	820	3737
54	841	3749
55	858	3742
56	873	3722
57	890	3715
58	904	3694
59	918	3675
60	934	3661
61	961	3692
62	979	3686
63	999	3685
64	1018	3683
65	1043	3699
66	1064	3700
67	1085	3702
68	1101	3688
69	1116	3668
70	1133	3655
71	1147	3635
72	1161	3612
73	1176	3594
74	1191	3575
75	1205	3554
76	1221	3536
77	1238	3524
78	1252	3504
79	1265	3479
80	1282	3466
81	1297	3449
82	1311	3429
83	1331	3424
84	1345	3402
85	1360	3386
86	1376	3369
87	1392	3354
88	1406	3334
89	1419	3312
90	1433	3292
91	1451	3282
92	1466	3263
93	1479	3242
94	1494	3224
95	1507	3203
96	1521	3184
97	1538	3170
98	1554	3155
99	1574	3148
100	1588	3130
101	1605	3116
102	1621	3102
103	1636	3084
104	1650	3065
105	1666	3050
106	1680	3030
107	1695	3014
108	1710	2996
109	1726	2982
110	1745	2971
111	1761	2957
112	1775	2938
113	1789	2919
114	1802	2900
115	1822	2891
116	1838	2875
117	1852	2856
118	1866	2838
119	1888	2833
120	1902	2814
121	1918	2798
122	1932	2781
123	1951	2769
124	1967	2754
125	1980	2735
126	1994	2717
127	2011	2703
128	2026	2685
129	2040	2668
130	2055	2651
131	2069	2633
132	2084	2617
133	2098	2599
134	2113	2583
135	2128	2566
136	2142	2548
137	2160	2536
138	2173	2517
139	2188	2500
140	2202	2484
141	2218	2467
142	2231	2450
143	2244	2431
144	2264	2420
145	2277	2402
146	2293	2386
147	2316	2378
148	2332	2363
149	2345	2345
150	2363	2332
151	2378	2315
152	2391	2297
153	2409	2284
154	2422	2266
155	2446	2258
156	2460	2240
157	2476	2226
158	2493	2210
159	2506	2192
160	2519	2175
161	2536	2160
162	2550	2143
163	2564	2126
164	2581	2112
165	2594	2094
166	2608	2077
167	2621	2059
168	2637	2044
169	2651	2027
170	2665	2010
171	2679	1994
172	2694	1977
173	2711	1963
174	2724	1946
175	2739	1930
176	2752	1912
177	2774	1901
178	2791	1886
179	2814	1876
180	2828	1859
181	2843	1843
182	2858	1827
183	2872	1811
184	2887	1794
185	2903	1779
186	2920	1764
187	2935	1748
188	2948	1731
189	2964	1716
190	2977	1699
191	2991	1682
192	3007	1667
193	3021	1651
194	3035	1634
195	3049	1618
196	3064	1602
197	3080	1586
198	3094	1570
199	3107	1553
200	3120	1537
201	3137	1521
202	3151	1505
203	3165	1489
204	3179	1473
205	3196	1458
206	3209	1442
207	3222	1425
208	3238	1409
209	3254	1394
210	3270	1379
211	3295	1368
212	3310	1352
213	3325	1336
214	3341	1321
215	3354	1304
216	3369	1288
217	3384	1273
218	3398	1257
219	3415	1241
220	3433	1227
221	3448	1211
222	3461	1195
223	3476	1179
224	3490	1163
225	3505	1147
226	3520	1132
227	3536	1116
228	3549	1100
229	3563	1084
230	3580	1069
231	3594	1053
232	3608	1037
233	3622	1021
234	3637	1006
235	3652	990
236	3666	974
237	3683	959
238	3697	943
239	3712	928
240	3728	912
241	3742	896
242	3756	881
243	3775	866
244	3793	851
245	3822	839
246	3842	824
247	3861	809
248	3882	795
249	3899	779
250	3930	767
251	3947	751
252	3975	738
253	3995	723
254	4016	708
255	4039	694
256	4063	679
257	4081	664
258	4097	648
259	4112	632
260	4129	617
261	4144	601
262	4158	585
263	4175	569
264	4188	553
265	4204	537
266	4221	521
267	4236	505
268	4251	489
269	4277	475
270	4292	459
271	4311	443
272	4327	427
273	4342	412
274	4359	396
275	4376	380
276	4391	364
277	4407	348
278	4424	333
279	4439	317
280	4454	301
281	4470	285
282	4485	269
283	4501	253
284	4519	237
285	4532	221
286	4547	205
287	4564	190
288	4578	174
289	4594	158
290	4617	142
291	4632	126
292	4646	111
293	4665	95
294	4681	79
295	4696	63
296	4711	47
297	4725	31
298	4739	15
299	4766	0
